Full Name,Year,Type of Publication,Title,List of Coauthors,Num of Coauthors,Venue,CORE Rank
Wai Kin Adams Kong,2023,Journal Article,A fully differentiable ligand pose optimization framework guided by deep learning and a traditional scoring function.,"['Zechen Wang', 'Liangzhen Zheng', 'Sheng Wang', 'Mingzhi Lin', 'Zhihao Wang', 'Yuguang Mu', 'Yanjie Wei', 'Weifeng Li', 'Wai Kin Adams Kong']",9,Briefings Bioinform.,Unknown
Wai Kin Adams Kong,2023,Conference Paper,A Practical Upper Bound for the Worst-Case Attribution Deviations.,"['Fan Wang', 'Wai Kin Adams Kong']",2,CVPR,A*
Wai Kin Adams Kong,2023,Informal Publication,Flexible-modal Deception Detection with Audio-Visual Adapter.,"['Zhaoxu Li', 'Zitong Yu', 'Nithish Muthuchamy Selvaraj', 'Xiaobao Guo', 'Bingquan Shen', 'Alex C. Kot', 'Wai Kin Adams Kong']",7,CoRR,Unknown
Wai Kin Adams Kong,2023,Informal Publication,A Practical Upper Bound for the Worst-Case Attribution Deviations.,"['Fan Wang', 'Wai Kin Adams Kong']",2,CoRR,Unknown
Wai Kin Adams Kong,2023,Informal Publication,TF-ICON: Diffusion-Based Training-Free Cross-Domain Image Composition.,"['Shilin Lu', 'Yanzhu Liu', 'Wai Kin Adams Kong']",3,CoRR,Unknown
Wai Kin Adams Kong,2022,Journal Article,Using double attention for text tattoo localisation.,"['Xingpeng Xu', 'Shitala Prasad', 'Kuanhong Cheng', 'Wai Kin Adams Kong']",4,IET Biom.,Unknown
Wai Kin Adams Kong,2022,Conference Paper,Pure Transformer with Integrated Experts for Scene Text Recognition.,"['Yew Lee Tan', 'Jung-Jae Kim', 'Wai Kin Adams Kong']",3,ECCV (28),Unknown
Wai Kin Adams Kong,2022,Conference Paper,Transferable Adversarial Attack based on Integrated Gradients.,"['Yi Huang', 'Wai Kin Adams Kong']",2,ICLR,A*
Wai Kin Adams Kong,2022,Conference Paper,Portmanteauing Features for Scene Text Recognition.,"['Yew Lee Tan', 'Ernest Yu Kai Chew', 'Jung-Jae Kim', 'Joo Hwee Lim', 'Wai Kin Adams Kong']",5,ICPR,B
Wai Kin Adams Kong,2022,Conference Paper,Exploiting the Relationship Between Kendall's Rank Correlation and Cosine Similarity for Attribution Protection.,"['Fan Wang', 'Wai Kin Adams Kong']",2,NeurIPS,A*
Wai Kin Adams Kong,2022,Informal Publication,Exploiting the Relationship Between Kendall's Rank Correlation and Cosine Similarity for Attribution Protection.,"['Fan Wang', 'Wai Kin Adams Kong']",2,CoRR,Unknown
Wai Kin Adams Kong,2022,Informal Publication,Transferable Adversarial Attack based on Integrated Gradients.,"['Yi Huang', 'Wai Kin Adams Kong']",2,CoRR,Unknown
Wai Kin Adams Kong,2022,Informal Publication,Pure Transformer with Integrated Experts for Scene Text Recognition.,"['Yew Lee Tan', 'Jung-Jae Kim', 'Wai Kin Adams Kong']",3,CoRR,Unknown
Wai Kin Adams Kong,2022,Informal Publication,Portmanteauing Features for Scene Text Recognition.,"['Yew Lee Tan', 'Ernest Yu Kai Chew', 'Jung-Jae Kim', 'Joo Hwee Lim', 'Wai Kin Adams Kong']",5,CoRR,Unknown
Wai Kin Adams Kong,2021,Journal Article,Pixel-wise ordinal classification for salient object grading.,"['Yanzhu Liu', 'Yanan Wang', 'Wai Kin Adams Kong']",3,Image Vis. Comput.,Unknown
Wai Kin Adams Kong,2021,Journal Article,Segmenting Vitiligo on Clinical Face Images Using CNN Trained on Synthetic and Internet Images.,"['Yanling Li', 'Steven Thng', 'Wai Kin Adams Kong']",3,IEEE J. Biomed. Health Informatics,Unknown
Wai Kin Adams Kong,2020,Journal Article,A portrait photo-to-tattoo transform based on digital tattooing.,"['Xingpeng Xu', 'Wojciech Michal Matkowski', 'Wai Kin Adams Kong']",3,Multim. Tools Appl.,Unknown
