Full Name,Wai Kin Adams Kong,Luu Anh Tuan,Anupam Chattopadhyay,Anwitaman Datta,Arvind Easwaran,"Vun Chan Hua, Nicholas",Kwoh Chee Keong,Yeo Chai Kiat,Lau Chiew Tong,Miao Chun Yan,Douglas Leslie Maskell,Deepu Rajan,Chng Eng Siong,Li Fang,Quek Hiok Chai,Seah Hock Soon,Jagath Chandana Rajapakse,Zheng Jianmin,Chia Liang Tien,A S Madhukumar,Chan Syin,Hui Siu Cheung,Lam Siew Kei,Sourav Saha Bhowmick,Alexei Sourin,Huang Shell Ying,Cham Tat Jen,Thambipillai Srikanthan,Goh Wooi Boon,Wentong Cai,Tang Xueyan,Ong Yew Soon,Wee Keong NG,Sun Aixin,Bo An,Li Boyang,Wei Yang Bryan Lim,Long Cheng,Erik Cambria,Chen Change Loy,Chee Wei Tan,Ong Chin Ann,Guan Cuntai,Dmitrii Ustiugov,Dusit Niyato,Lee Bu Sung,Cong Gao,Lin Guosheng,Yu Han,Zhang Hanwang,Oh Hong Lye,Josephine Chong,Luo Jun,Zhao Jun,Tay Kian Boon,Lam Kwok Yan,Li Mo,Liu Weichen,Luke Ong,Qian Kemao,Mohamed M. Sabry,Owen Noel Newton Fernando,Lin Shang-Wei,Lu Shijian,"Pan, Sinno Jialin",Luo Siqiang,Smitha K G,Joty Shafiq Rayhan,Siyuan Liu,Tan Rui,Zhang Tianwei,Vidya Sudarshan,Wang Wenya,Lin Weisi,Pan Xingang,Liu Yang,Wen Yonggang,He Ying,Li Yi,Wei Ying,"Ke Yiping, Kelly",Loke Yuan Ren,Zhang Jie,Zinovi Rabinovich,Liu Ziwei,Shen Zhiqi
Wai Kin Adams Kong,1.0000000000000004,0.24396449193756262,0.1299996167114708,0.1315813373058679,0.13272895061146245,0.21706075556570195,0.07420530437698857,0.2006243048702936,0.15753597955107645,0.07585272543523303,0.11420517448158994,0.20978563718828191,0.10124489868688585,0.1352208925831538,0.07808251224172551,0.05714655175128151,0.04821744757098427,0.08112129603134176,0.20681269200890548,0.2006243048702936,0.20681269200890548,0.18739400976491496,0.12252409934882022,0.06649782530334361,0.6468220921457901,0.18004713681463486,0.24124021589372102,0.11815041662162334,0.11346143666661257,0.1315813373058679,0.1315813373058679,0.6782911724556367,0.12616062308501902,0.02785866869719763,0.44009227174551957,0.24396449193756262,0.2419462795191681,0.01747430784373289,0.0561921186612838,0.24396449193756262,0.0,0.14588101802560133,0.10763879919483126,0.024432235226242223,0.1694029174645823,0.19729313088350559,0.5195829096774718,0.24396449193756262,0.059584951366319056,0.09222406178662776,0.24396449193756262,0.0,0.07539053158051513,0.21995776203927,0.14439408520094196,0.4291479254785941,0.09004728020940604,0.1041608450260713,0.027896644951624375,0.10255492176088526,0.10427799182634638,0.15934743597349035,0.11582776588387372,0.3186114930773499,0.24396449193756262,0.24396449193756262,0.07927367162624188,0.09271143493821107,0.018674401151567627,0.19302276213922356,0.24396449193756262,0.0,0.24396449193756262,0.14866471445623025,0.0,0.11582776588387372,0.26245248059721393,0.24396449193756262,0.24396449193756262,0.023485015709490534,0.24396449193756262,0.08562271599570236,0.024340898688160615,0.24396449193756262,0.24396449193756262,0.10030881743445962
Luu Anh Tuan,0.24396449193756262,1.0000000000000002,0.2691792969744492,0.4864416210588558,0.4906842202613889,0.44180550344976555,0.3050866261607286,0.44293066970054207,0.1438931849498613,0.13792768046156312,0.39499798736184777,0.33072738448858563,0.016812490432160602,0.5542646452737092,0.3130945527581468,0.16504467863337907,0.14894392773725065,0.314523784037403,0.3428340803166595,0.44293066970054207,0.3428340803166595,0.310643666839554,0.4237704015233452,0.24583509029288853,0.2338836498258074,0.3728084969480488,0.39990469998695677,0.3933432145673595,0.43991309494014347,0.4864416210588558,0.4864416210588558,0.2337870906057368,0.22043176616497176,0.06796179555105433,0.0719918881727485,1.0000000000000002,0.0752329709348166,0.04262893356391513,0.19395590839196825,1.0000000000000002,0.0,0.5469773915894101,0.08712252192967242,0.059602940590918155,0.6371282891262157,0.39796361121234275,0.21115124182459927,1.0000000000000002,0.14535871497278835,0.35757146780818827,1.0000000000000002,0.0,0.24104809664437463,0.5219493510247833,0.591865168796353,0.20102399814765032,0.34787481750846727,0.3595274888580813,0.06805443940518814,0.4112237995425637,0.3610984821074329,0.28975125290767934,0.4282024134562775,0.1271164848487114,1.0000000000000002,1.0000000000000002,0.3073601679735356,0.34274389989821785,0.04555658588340508,0.3806839482652857,1.0000000000000002,0.0,1.0000000000000002,0.5399929147618054,0.0,0.4282024134562775,0.4350683410111855,1.0000000000000002,1.0000000000000002,0.08105061475234565,1.0000000000000002,0.3319767058963586,0.05938012322678231,1.0000000000000002,1.0000000000000002,0.12859265042206255
Anupam Chattopadhyay,0.1299996167114708,0.2691792969744492,1.0,0.2111252706873781,0.5125661765156837,0.5003685758732882,0.11581590896605659,0.2438863103405941,0.08846638763073364,0.0616938813873749,0.5920730557235143,0.2634280983257187,0.00976559073278149,0.14919656755256946,0.1805088518872397,0.12809282609437428,0.097397947032965,0.09861093949581044,0.1359181068781997,0.2438863103405941,0.1359181068781997,0.12315607325717388,0.6352007974290302,0.0784241474388437,0.1310607353440664,0.2202021302247316,0.15854400969622712,0.607797404483655,0.27778195891696766,0.2111252706873781,0.2111252706873781,0.10457098233990222,0.4184496365161894,0.09225346511117075,0.0790882680539367,0.2691792969744492,0.07075767905533387,0.057865846588923006,0.108868948123241,0.2691792969744492,0.0,0.16306411478313332,0.03486627714883986,0.2573183488964772,0.3085947484929775,0.19238472414192545,0.0840233479965873,0.2691792969744492,0.16493253142121633,0.18991216981741885,0.2691792969744492,0.0,0.2926282916115475,0.26468743199831596,0.159317850040266,0.3451002743942646,0.10023068907909538,0.5899172173746265,0.07163208831558801,0.20246908377605927,0.6562190784951055,0.15833360830427662,0.23348688329711395,0.07693339239013973,0.2691792969744492,0.2691792969744492,0.3947176419844644,0.21728691766876188,0.09093115360278942,0.14315438437498643,0.2691792969744492,0.0,0.2691792969744492,0.2898721101546631,0.0,0.23348688329711395,0.17248479269698153,0.2691792969744492,0.2691792969744492,0.026378268905613518,0.2691792969744492,0.20962581186913753,0.0344911411807041,0.2691792969744492,0.2691792969744492,0.09830823873177048
Anwitaman Datta,0.1315813373058679,0.4864416210588558,0.2111252706873781,1.0,0.4234651062762949,0.3448527611224358,0.14795820598985465,0.23481933612935108,0.08380793976826857,0.0796760750164014,0.30980858461286315,0.17480902208626725,0.013741421790060054,0.26961739254255473,0.1556889837925009,0.550414136149054,0.09614093089314313,0.16174802501169036,0.16676876578345778,0.23481933612935108,0.16676876578345778,0.15111000886909973,0.33237563860421115,0.1325902375404928,0.18406587435204141,0.5779374787887896,0.1945302905307106,0.3097194407467303,0.2262311402017429,1.0,1.0,0.13505075780752976,0.11888904957572466,0.055547493219114265,0.05884142535791112,0.4864416210588558,0.41825756027347016,0.03484208118516835,0.1661646051888488,0.4864416210588558,0.0,0.2908726525180189,0.05644357846928044,0.6235076825805855,0.33777304692627413,0.6578876361750966,0.11614373418996653,0.4864416210588558,0.5370284292349126,0.18388586699576195,0.4864416210588558,0.0,0.15032143449752647,0.2815114325380913,0.2879078521575712,0.11612464664750588,0.1795455748872457,0.30801197929949303,0.055623214200550435,0.2044846034467042,0.26771079105551876,0.24823375034845063,0.2309493719872851,0.1388570627723865,0.4864416210588558,0.4864416210588558,0.15806404049580144,0.1848576419620035,0.03723495126822297,0.19647906344923508,0.4864416210588558,0.0,0.4864416210588558,0.2964230741941267,0.0,0.2309493719872851,0.21163534907286807,0.4864416210588558,0.4864416210588558,0.04682685181596434,0.4864416210588558,0.17072342141933916,0.04853339976593202,0.4864416210588558,0.4864416210588558,0.14859633319606147
Arvind Easwaran,0.13272895061146245,0.4906842202613889,0.5125661765156837,0.4234651062762949,1.0000000000000002,0.7169536734708898,0.14924865347536048,0.23686736056861102,0.08453888770330101,0.08037098605544805,0.7521477706090843,0.17633365440717028,0.013861270385665992,0.2719689152845852,0.15704685682368494,0.2698258616782534,0.09697944351023821,0.16315874319906945,0.16822327337921045,0.23686736056861102,0.16822327337921045,0.1524279454423052,0.8069356628491193,0.13374665017399337,0.1856712421863967,0.29495497905973994,0.1962269258919645,0.7094537015556999,0.22820426094934426,0.4234651062762949,0.4234651062762949,0.1362286303673007,0.11992596452108223,0.056031961941015875,0.05935462277665993,0.4906842202613889,0.13883999297178515,0.03514596345891175,0.16761384347550876,0.4906842202613889,0.0,0.29340955731848695,0.056935862580332924,0.5101621058129694,0.34071900302354896,0.3156625773671517,0.11715670531069626,0.4906842202613889,0.26825476535673987,0.185489664859471,0.4906842202613889,0.0,0.30120576452360637,0.2839666915609321,0.29041889885071376,0.11713745129236491,0.1811115180135285,0.8479661983498075,0.05610834333834071,0.2062680573658505,0.5902394340712254,0.2503987713205001,0.23296364374981637,0.140068132792468,0.4906842202613889,0.4906842202613889,0.15944262806546075,0.18646991535806484,0.03755970344344403,0.1981926954285252,0.4906842202613889,0.0,0.4906842202613889,0.29900838812234476,0.0,0.23296364374981637,0.21348116966948955,0.4906842202613889,0.4906842202613889,0.047235261696145024,0.4906842202613889,0.1722124203458512,0.048956693649985276,0.4906842202613889,0.4906842202613889,0.14989234623734826
"Vun Chan Hua, Nicholas",0.21706075556570195,0.44180550344976555,0.5003685758732882,0.3448527611224358,0.7169536734708898,1.0,0.15625114402226317,0.6873862942971033,0.5306896259166092,0.18808757401436715,0.6846422145785153,0.560014641042755,0.013396638319601547,0.5768690045138354,0.2639352126458763,0.2040740012385981,0.09392551703567927,0.15878256236814847,0.5414798504340993,0.6873862942971033,0.5414798504340993,0.4906375880228034,0.734512872102277,0.1225654922276372,0.21402977382568872,0.36924804134221473,0.39208470923676214,0.6474778104074387,0.39716728640149024,0.3448527611224358,0.3448527611224358,0.16559126932427146,0.32057333524175025,0.054153761349155206,0.057365046046397604,0.44180550344976555,0.16989136469493674,0.03396786497577224,0.13985105412641863,0.44180550344976555,0.0,0.33909570756451685,0.05022930533466925,0.3445386600076365,0.6113845984404123,0.6061133500913392,0.13428385159414435,0.44180550344976555,0.2114504408499162,0.32282669281145,0.44180550344976555,0.0,0.3607600171894323,0.5040768154843498,0.26148928887445316,0.18691681010346275,0.44692112131500494,0.6054080628516588,0.054227582429462885,0.34665707218851527,0.5454791312261847,0.32196796345007905,0.21348799113992506,0.11548354916139694,0.44180550344976555,0.44180550344976555,0.2774943625594169,0.17088111688610425,0.1095122625493488,0.5502925501347075,0.44180550344976555,0.0,0.44180550344976555,0.48097320814636196,0.0,0.21348799113992506,0.6871567144134378,0.44180550344976555,0.44180550344976555,0.039341477372429184,0.44180550344976555,0.29971894209537564,0.04731565721642725,0.44180550344976555,0.44180550344976555,0.1562695878371107
Kwoh Chee Keong,0.07420530437698857,0.3050866261607286,0.11581590896605659,0.14795820598985465,0.14924865347536048,0.15625114402226317,1.0000000000000002,0.1445451484327391,0.030691552207793613,0.09380205398361183,0.16995010931475052,0.1287376237633773,0.005032286504656718,0.16909873062672895,0.5294128749243036,0.04172802448409757,0.328442753997637,0.17270993059723302,0.10459409289672589,0.1445451484327391,0.10459409289672589,0.1809976304923436,0.1823296025993993,0.4453114705239869,0.06561030918647213,0.28987839227013606,0.122005575704839,0.1644427507388375,0.20415872110982997,0.14795820598985465,0.14795820598985465,0.11497389478174151,0.06704748782382303,0.2604031678854022,0.12552028760635067,0.3050866261607286,0.07390158207427805,0.23543881740416112,0.15330399783745757,0.3050866261607286,0.0,0.1431598382340002,0.12172180349999506,0.0416919654746761,0.2079192284984669,0.11116411699812337,0.09996062616003229,0.3050866261607286,0.1718709107083876,0.19634808724468011,0.3050866261607286,0.0,0.14660237759044814,0.21961460908948413,0.34485233261948667,0.061010051677970314,0.15873096649965668,0.14878015612334408,0.08444199252049378,0.16408012489863288,0.2561195450892551,0.08793845051609223,0.13024391448578618,0.06568729001791578,0.3050866261607286,0.3050866261607286,0.23285938312536741,0.10425048011418186,0.07586483183831003,0.10533708707961328,0.3050866261607286,0.0,0.3050866261607286,0.1909765949872151,0.0,0.13024391448578618,0.13273353230844792,0.3050866261607286,0.3050866261607286,0.07386658604932579,0.3050866261607286,0.2166207872111532,0.017773559126456433,0.3050866261607286,0.3050866261607286,0.03251190713762042
Yeo Chai Kiat,0.2006243048702936,0.44293066970054207,0.2438863103405941,0.23481933612935108,0.23686736056861102,0.6873862942971033,0.1445451484327391,1.0,0.7646346093804165,0.2689636533889896,0.31481152550149266,0.7491056015927998,0.011631684627076226,0.6748233166500506,0.23974276723884264,0.2466281175529647,0.08155120460299108,0.36367833557180995,0.8327205777008878,1.0,0.8327205777008878,0.7545322608266534,0.3377430033427812,0.17123681973498517,0.29007685993589505,0.2888091802321299,0.6615828921936252,0.30964181083933545,0.5846724143518374,0.23481933612935108,0.23481933612935108,0.15382209286270823,0.47419250766630433,0.04701921917692395,0.08190037470769942,0.44293066970054207,0.10453698133442263,0.029492734179080413,0.0992190762398465,0.44293066970054207,0.0,0.5280040534066378,0.04361179459739027,0.04123616370800964,0.7796283490837772,0.7175029941755231,0.12418377679471254,0.44293066970054207,0.1453837465353295,0.4752351675623333,0.44293066970054207,0.0,0.396101225465669,0.6021008058562626,0.26215523558739295,0.17093011097842975,0.6294373330127389,0.18391801323855783,0.047083314624190936,0.48907384475418797,0.26995475069428404,0.5051380865774473,0.20670559858327414,0.14159838644626616,0.44293066970054207,0.44293066970054207,0.2533153400072806,0.16545232059151133,0.0950844585322419,0.7419568053523438,0.44293066970054207,0.0,0.44293066970054207,0.43686809851634817,0.0,0.20670559858327414,0.7331716132756543,0.44293066970054207,0.44293066970054207,0.03415839456453745,0.44293066970054207,0.44121810507005615,0.04108200800338501,0.44293066970054207,0.44293066970054207,0.14758066783320195
Lau Chiew Tong,0.15753597955107645,0.1438931849498613,0.08846638763073364,0.08380793976826857,0.08453888770330101,0.5306896259166092,0.030691552207793613,0.7646346093804165,1.0000000000000002,0.19960599614391056,0.0697742085640183,0.26683978060607955,0.005405002109089726,0.678246643540984,0.03656925573130244,0.05305976765946679,0.027747884763218336,0.043787457161687526,0.6430352364011778,0.7646346093804165,0.6430352364011778,0.5826574288011195,0.07485669630022936,0.0423543783020583,0.11321696946431822,0.1969749999155043,0.3182647256254204,0.07478655442354053,0.06124394013161878,0.08380793976826857,0.08380793976826857,0.09280081143767961,0.358677638323669,0.0218488539680178,0.02314447755263652,0.1438931849498613,0.09735559903505278,0.01370466063614567,0.037405216308822486,0.1438931849498613,0.0,0.4810011396827409,0.016393849819358968,0.019161588278772432,0.5254109045355335,0.8056027880983094,0.0701195108997931,0.1438931849498613,0.04673098040844662,0.04978048123391149,0.1438931849498613,0.0,0.43392622255821023,0.4224538790866085,0.08516536419899448,0.13369576657132656,0.714371565577535,0.0693363950662778,0.02187863779029017,0.04803069282360285,0.06031284163489736,0.1927059268020399,0.07377403684630207,0.04086633515003057,0.1438931849498613,0.1438931849498613,0.042790150924642924,0.0590505805323263,0.10325958798636703,0.8558466430298489,0.1438931849498613,0.0,0.1438931849498613,0.08643796705723736,0.0,0.07377403684630207,0.816034022213868,0.1438931849498613,0.1438931849498613,0.010780672540169615,0.1438931849498613,0.0462172227534509,0.01908995532659586,0.1438931849498613,0.1438931849498613,0.08509069204747625
Miao Chun Yan,0.07585272543523303,0.13792768046156312,0.0616938813873749,0.0796760750164014,0.08037098605544805,0.18808757401436715,0.09380205398361183,0.2689636533889896,0.19960599614391056,1.0000000000000002,0.07187226698674279,0.2307933824998374,0.05016999317422956,0.201319090980368,0.04484025378931919,0.10171685807405155,0.09004812130261544,0.18997964840382395,0.3044377214146691,0.2689636533889896,0.3044377214146691,0.27585253489728945,0.07710758133930404,0.06303735111834632,0.118805434085677,0.10858048504652788,0.2650218094427802,0.07588362133468828,0.16287837940122357,0.0796760750164014,0.0796760750164014,0.4002811159196187,0.17501037538883565,0.06329181236626075,0.09989700644971641,0.13792768046156312,0.2148618399446437,0.012776186294691743,0.10717197819673376,0.13792768046156312,0.0,0.11939014243596126,0.08733595357434322,0.01786341362631726,0.13806747795007487,0.19822844250240287,0.09687940399861637,0.13792768046156312,0.16052955032040123,0.13239128788525598,0.13792768046156312,0.0,0.1765137790391674,0.12886320845900762,0.08163458987807248,0.06619139005162376,0.24471500853224312,0.06562408754545458,0.10833321652757413,0.18918242456620626,0.06558134283232792,0.20750245711144102,0.07013685947037523,0.31077273546531275,0.13792768046156312,0.13792768046156312,0.04657433964499363,0.05613929297468617,0.15304252268917298,0.1995508811227539,0.13792768046156312,0.0,0.13792768046156312,0.21780801608598227,0.0,0.07013685947037523,0.24616803480794083,0.13792768046156312,0.13792768046156312,0.19696027343298433,0.13792768046156312,0.12291479493856113,0.13682469604699057,0.13792768046156312,0.13792768046156312,0.1784035220403191
